run_id,model,model_label,scope,metric,value,n_occurrences,n_subjects
20260528_007,Joint,Token-Time,subject_mean,centroid_cosine_distance,0.19670094251632692,90,10
20260528_007,Joint,Token-Time,subject_mean,semantic_axis_auroc,0.7611111111111112,90,10
20260528_007,Timeformer,Memory-Augmented,pooled,silhouette_cosine,0.06265966594219208,90,10
20260528_007,Timeformer,Memory-Augmented,pooled,centroid_cosine_distance,0.1389651894569397,90,10
20260528_007,Timeformer,Memory-Augmented,pooled,semantic_axis_auroc,0.689484126984127,90,10
20260528_007,Timeformer,Memory-Augmented,subject_mean,silhouette_cosine,-0.03963711373507976,90,10
20260528_007,Timeformer,Memory-Augmented,subject_mean,centroid_cosine_distance,0.16172325611114502,90,10
20260528_007,Timeformer,Memory-Augmented,subject_mean,semantic_axis_auroc,0.6944444444444445,90,10
20260528_008,Static,Standard,pooled,silhouette_cosine,0.034408777952194214,90,10
20260528_008,Static,Standard,pooled,centroid_cosine_distance,0.008970141410827637,90,10
20260528_008,Static,Standard,pooled,semantic_axis_auroc,0.6302083333333334,90,10
20260528_008,Static,Standard,subject_mean,silhouette_cosine,-0.0012058988213539124,90,10
20260528_008,Static,Standard,subject_mean,centroid_cosine_distance,0.049070870876312254,90,10
20260528_008,Static,Standard,subject_mean,semantic_axis_auroc,0.6111111111111112,90,10
20260528_008,Additive,Additive,pooled,silhouette_cosine,0.03558632358908653,90,10
20260528_008,Additive,Additive,pooled,centroid_cosine_distance,0.1300671100616455,90,10
20260528_008,Additive,Additive,pooled,semantic_axis_auroc,0.7490079365079364,90,10
20260528_008,Additive,Additive,subject_mean,silhouette_cosine,-0.0559229226782918,90,10
20260528_008,Additive,Additive,subject_mean,centroid_cosine_distance,0.2282903552055359,90,10
20260528_008,Additive,Additive,subject_mean,semantic_axis_auroc,0.7777777777777779,90,10
20260528_008,Joint,Token-Time,pooled,silhouette_cosine,0.026242192834615707,90,10
20260528_008,Joint,Token-Time,pooled,centroid_cosine_distance,0.07578539848327637,90,10
20260528_008,Joint,Token-Time,pooled,semantic_axis_auroc,0.7509920634920635,90,10
20260528_008,Joint,Token-Time,subject_mean,silhouette_cosine,-0.08039627522230149,90,10
20260528_008,Joint,Token-Time,subject_mean,centroid_cosine_distance,0.17242526412010192,90,10
20260528_008,Joint,Token-Time,subject_mean,semantic_axis_auroc,0.7833333333333334,90,10
20260528_008,Timeformer,Memory-Augmented,pooled,silhouette_cosine,0.05477467551827431,90,10
20260528_008,Timeformer,Memory-Augmented,pooled,centroid_cosine_distance,0.12619417905807495,90,10
20260528_008,Timeformer,Memory-Augmented,pooled,semantic_axis_auroc,0.7390873015873016,90,10
20260528_008,Timeformer,Memory-Augmented,subject_mean,silhouette_cosine,-0.04920971021056175,90,10
20260528_008,Timeformer,Memory-Augmented,subject_mean,centroid_cosine_distance,0.17987759411334991,90,10
20260528_008,Timeformer,Memory-Augmented,subject_mean,semantic_axis_auroc,0.7555555555555555,90,10
20260528_009,Static,Standard,pooled,silhouette_cosine,0.05949800834059715,90,10
