run_id,layer,head,metric,value
20260528_012,1,3,cka_delta_vs_baseline,-0.00848714623132829
20260528_013,-1,-1,baseline_cka,0.9129731227214475
20260528_013,0,0,cka_ablated,0.8894517041845194
20260528_013,0,0,cka_delta_vs_baseline,-0.02352141853692813
20260528_013,0,1,cka_ablated,0.9004508477500494
20260528_013,0,1,cka_delta_vs_baseline,-0.012522274971398129
20260528_013,0,2,cka_ablated,0.9083213396284213
20260528_013,0,2,cka_delta_vs_baseline,-0.004651783093026163
20260528_013,0,3,cka_ablated,0.863181974029025
20260528_013,0,3,cka_delta_vs_baseline,-0.049791148692422516
20260528_013,1,0,cka_ablated,0.9022231669339463
20260528_013,1,0,cka_delta_vs_baseline,-0.010749955787501153
20260528_013,1,1,cka_ablated,0.8878213165762445
20260528_013,1,1,cka_delta_vs_baseline,-0.02515180614520296
20260528_013,1,2,cka_ablated,0.9051657018071927
20260528_013,1,2,cka_delta_vs_baseline,-0.007807420914254792
20260528_013,1,3,cka_ablated,0.898498521013872
20260528_013,1,3,cka_delta_vs_baseline,-0.01447460170757553
20260528_014,-1,-1,baseline_cka,0.9568345809337524
20260528_014,0,0,cka_ablated,0.9497458018760664
20260528_014,0,0,cka_delta_vs_baseline,-0.007088779057686012
20260528_014,0,1,cka_ablated,0.921030510643912
20260528_014,0,1,cka_delta_vs_baseline,-0.03580407028984045
20260528_014,0,2,cka_ablated,0.9576413214379508
20260528_014,0,2,cka_delta_vs_baseline,0.0008067405041983777
20260528_014,0,3,cka_ablated,0.9546723348303489
20260528_014,0,3,cka_delta_vs_baseline,-0.0021622461034035423
20260528_014,1,0,cka_ablated,0.9540989763119294
20260528_014,1,0,cka_delta_vs_baseline,-0.0027356046218229846
20260528_014,1,1,cka_ablated,0.9560883559061873
20260528_014,1,1,cka_delta_vs_baseline,-0.0007462250275650506
20260528_014,1,2,cka_ablated,0.9553247371016721
20260528_014,1,2,cka_delta_vs_baseline,-0.0015098438320803043
20260528_014,1,3,cka_ablated,0.9555625547779217
20260528_014,1,3,cka_delta_vs_baseline,-0.0012720261558306634
20260528_015,-1,-1,baseline_cka,0.8475982699595497
20260528_015,0,0,cka_ablated,0.834769207857672
20260528_015,0,0,cka_delta_vs_baseline,-0.01282906210187773
20260528_015,0,1,cka_ablated,0.7793241708566055
20260528_015,0,1,cka_delta_vs_baseline,-0.06827409910294413
20260528_015,0,2,cka_ablated,0.8750097894310491
20260528_015,0,2,cka_delta_vs_baseline,0.027411519471499446
20260528_015,0,3,cka_ablated,0.8703772529913759
20260528_015,0,3,cka_delta_vs_baseline,0.02277898303182624
20260528_015,1,0,cka_ablated,0.7979667822998839
20260528_015,1,0,cka_delta_vs_baseline,-0.04963148765966574
20260528_015,1,1,cka_ablated,0.8178026078778331
20260528_015,1,1,cka_delta_vs_baseline,-0.02979566208171658
20260528_015,1,2,cka_ablated,0.8190713899642136
20260528_015,1,2,cka_delta_vs_baseline,-0.028526879995336096
20260528_015,1,3,cka_ablated,0.8107395158824665
20260528_015,1,3,cka_delta_vs_baseline,-0.03685875407708317
20260528_016,-1,-1,baseline_cka,0.9701080729874979
20260528_016,0,0,cka_ablated,0.9665705413549758
20260528_016,0,0,cka_delta_vs_baseline,-0.0035375316325221284
20260528_016,0,1,cka_ablated,0.9338042194425621
20260528_016,0,1,cka_delta_vs_baseline,-0.036303853544935816
20260528_016,0,2,cka_ablated,0.9458380223502444
20260528_016,0,2,cka_delta_vs_baseline,-0.024270050637253515
20260528_016,0,3,cka_ablated,0.9785555989221142
20260528_016,0,3,cka_delta_vs_baseline,0.008447525934616285
20260528_016,1,0,cka_ablated,0.9678087471203393
20260528_016,1,0,cka_delta_vs_baseline,-0.0022993258671586414
20260528_016,1,1,cka_ablated,0.9667109361120405
20260528_016,1,1,cka_delta_vs_baseline,-0.003397136875457396
20260528_016,1,2,cka_ablated,0.9713159347105884
20260528_016,1,2,cka_delta_vs_baseline,0.0012078617230905087
20260528_016,1,3,cka_ablated,0.970576347857656
20260528_016,1,3,cka_delta_vs_baseline,0.000468274870158103
20260528_017,-1,-1,baseline_cka,0.8544507251156641
20260528_017,0,0,cka_ablated,0.836526317920272
20260528_017,0,0,cka_delta_vs_baseline,-0.017924407195392122
20260528_017,0,1,cka_ablated,0.8533354126866002
20260528_017,0,1,cka_delta_vs_baseline,-0.0011153124290639305
20260528_017,0,2,cka_ablated,0.8637526421706748
20260528_017,0,2,cka_delta_vs_baseline,0.009301917055010711
20260528_017,0,3,cka_ablated,0.8307398796597519
20260528_017,0,3,cka_delta_vs_baseline,-0.023710845455912177
20260528_017,1,0,cka_ablated,0.8384763294714381
20260528_017,1,0,cka_delta_vs_baseline,-0.01597439564422598
20260528_017,1,1,cka_ablated,0.8511941136669109
20260528_017,1,1,cka_delta_vs_baseline,-0.0032566114487532216
20260528_017,1,2,cka_ablated,0.8396014067999266
20260528_017,1,2,cka_delta_vs_baseline,-0.014849318315737547
20260528_017,1,3,cka_ablated,0.8506341723298272
20260528_017,1,3,cka_delta_vs_baseline,-0.003816552785836924
