model,model_label,layer,head,metric,n,mean,sd,ci95_low,ci95_high
Additive,Additive,1,2,entropy_period_variance,31,0.0011465887203219824,0.0036272608504181645,-0.00013030282959374927,0.002423480270237714
Additive,Additive,1,2,object_mass_period_variance,31,0.00027005982571839764,0.0007612642600667697,2.07471490949393e-06,0.0005380449365273013
Additive,Additive,1,2,verb_mass_period_variance,31,0.0002886492569966983,0.0009516059751771544,-4.6341161024367596e-05,0.0006236396750177642
Additive,Additive,1,3,context_mass_period_variance,31,5.832211169022678e-05,8.910614171377594e-05,2.6954398120137843e-05,8.96898252603157e-05
Additive,Additive,1,3,entropy_period_variance,31,5.3069381970210056e-05,0.00011426643036360164,1.2844582765736866e-05,9.329418117468325e-05
Additive,Additive,1,3,object_mass_period_variance,31,9.364698460946501e-05,0.00020606910376455524,2.110522151422627e-05,0.00016618874770470376
Additive,Additive,1,3,verb_mass_period_variance,31,0.00015252210191072195,0.00037604272635136197,2.0145137725757805e-05,0.00028489906609568613
Joint,Token-Time,0,0,context_mass_period_variance,31,0.00513557659292583,0.005092139009317958,0.0033430092700533166,0.006928143915798344
Joint,Token-Time,0,0,entropy_period_variance,31,0.01978697165905423,0.01564992760491778,0.014277784109664526,0.02529615920844393
Joint,Token-Time,0,0,object_mass_period_variance,31,0.007546233763556042,0.009878025639301895,0.004068908037940957,0.011023559489171126
Joint,Token-Time,0,0,verb_mass_period_variance,31,0.007851432335052023,0.010690270893938467,0.004088174843050459,0.011614689827053586
Joint,Token-Time,0,1,context_mass_period_variance,31,0.007420711980189904,0.011202365180097849,0.00347718378428193,0.011364240176097877
Joint,Token-Time,0,1,entropy_period_variance,31,0.03577977228893786,0.0384177808069735,0.022255699523869434,0.049303845054006284
Joint,Token-Time,0,1,object_mass_period_variance,31,0.007360620766364465,0.009226759937536326,0.004112557755957338,0.010608683776771592
Joint,Token-Time,0,1,verb_mass_period_variance,31,0.010369705670274025,0.014191328017670637,0.005373983670915481,0.015365427669632569
Joint,Token-Time,0,2,context_mass_period_variance,31,0.005958517885456615,0.007430864903396849,0.0033426573242789,0.00857437844663433
Joint,Token-Time,0,2,entropy_period_variance,31,0.024182867133872174,0.025656985095134848,0.015150931241940188,0.03321480302580416
Joint,Token-Time,0,2,object_mass_period_variance,31,0.005835120414476192,0.007152143264637556,0.0033173772261555676,0.008352863602796816
Joint,Token-Time,0,2,verb_mass_period_variance,31,0.006850991295349517,0.006819716458284896,0.004450271116264153,0.009251711474434881
Joint,Token-Time,0,3,context_mass_period_variance,31,0.007497609546898388,0.01031648856694643,0.003865933298850908,0.011129285794945869
Joint,Token-Time,0,3,entropy_period_variance,31,0.03778837551317949,0.03480925901474405,0.02553459765498366,0.050042153371375325
Joint,Token-Time,0,3,object_mass_period_variance,31,0.005657771583698057,0.005733433060522324,0.003639451829786656,0.007676091337609457
Joint,Token-Time,0,3,verb_mass_period_variance,31,0.007860863878554615,0.010522846239653409,0.00415654428352826,0.011565183473580971
Joint,Token-Time,1,0,context_mass_period_variance,31,0.0009044132377813005,0.0014527013976263349,0.0003930240061615245,0.0014158024694010765
Joint,Token-Time,1,0,entropy_period_variance,31,0.0033447563157833317,0.006316114832826906,0.0011213171998994196,0.005568195431667243
